"","type","date","country","total_cases"
"345","death",2020-02-07,"Belgium",0
"346","death",2020-02-07,"China",85
"347","death",2020-02-07,"Italy",0
"348","death",2020-02-07,"Japan",0
"349","death",2020-02-07,"Spain",0
"350","death",2020-02-07,"US",0
"351","recovered",2020-02-07,"Australia",0
"352","recovered",2020-02-07,"Belgium",0
"353","recovered",2020-02-07,"China",522
"354","recovered",2020-02-07,"Italy",0
"355","recovered",2020-02-07,"Japan",0
"356","recovered",2020-02-07,"Spain",0
"357","recovered",2020-02-07,"US",0
"358","confirmed",2020-02-08,"Australia",0
"359","confirmed",2020-02-08,"Belgium",0
"360","confirmed",2020-02-08,"China",2704
"361","confirmed",2020-02-08,"Italy",0
"362","confirmed",2020-02-08,"Japan",1
"363","confirmed",2020-02-08,"Spain",0
"364","confirmed",2020-02-08,"US",0
"365","death",2020-02-08,"Australia",0
"366","death",2020-02-08,"Belgium",0
"367","death",2020-02-08,"China",87
"368","death",2020-02-08,"Italy",0
"369","death",2020-02-08,"Japan",0
"370","death",2020-02-08,"Spain",0
"371","death",2020-02-08,"US",0
"372","recovered",2020-02-08,"Australia",0
"373","recovered",2020-02-08,"Belgium",0
"374","recovered",2020-02-08,"China",597
"375","recovered",2020-02-08,"Italy",0
"376","recovered",2020-02-08,"Japan",0
"377","recovered",2020-02-08,"Spain",0
"378","recovered",2020-02-08,"US",0
"379","confirmed",2020-02-09,"Australia",0
"380","confirmed",2020-02-09,"Belgium",0
"381","confirmed",2020-02-09,"China",3015
"382","confirmed",2020-02-09,"Italy",0
"383","confirmed",2020-02-09,"Japan",0
"384","confirmed",2020-02-09,"Spain",1
"385","confirmed",2020-02-09,"US",0
"386","death",2020-02-09,"Australia",0
"387","death",2020-02-09,"Belgium",0
"388","death",2020-02-09,"China",100
"389","death",2020-02-09,"Italy",0
"390","death",2020-02-09,"Japan",0
"391","death",2020-02-09,"Spain",0
"392","death",2020-02-09,"US",0
"393","recovered",2020-02-09,"Australia",0
"394","recovered",2020-02-09,"Belgium",0
"395","recovered",2020-02-09,"China",623
"396","recovered",2020-02-09,"Italy",0
"397","recovered",2020-02-09,"Japan",0
"398","recovered",2020-02-09,"Spain",0
"399","recovered",2020-02-09,"US",3
"400","confirmed",2020-02-10,"Australia",0
"401","confirmed",2020-02-10,"Belgium",0
"402","confirmed",2020-02-10,"China",2525
"403","confirmed",2020-02-10,"Italy",0
"404","confirmed",2020-02-10,"Japan",2
"405","confirmed",2020-02-10,"Spain",0
"406","confirmed",2020-02-10,"US",0
"407","death",2020-02-10,"Australia",0
"408","death",2020-02-10,"Belgium",0
"409","death",2020-02-10,"China",107
"410","death",2020-02-10,"Italy",0
"411","death",2020-02-10,"Japan",0
"412","death",2020-02-10,"Spain",0
"413","death",2020-02-10,"US",0
"414","recovered",2020-02-10,"Australia",0
"415","recovered",2020-02-10,"Belgium",0
"416","recovered",2020-02-10,"China",699
"417","recovered",2020-02-10,"Italy",0
"418","recovered",2020-02-10,"Japan",3
"419","recovered",2020-02-10,"Spain",0
"420","recovered",2020-02-10,"US",0
"421","confirmed",2020-02-11,"Australia",0
"422","confirmed",2020-02-11,"Belgium",0
"423","confirmed",2020-02-11,"China",2032
"424","confirmed",2020-02-11,"Italy",0
"425","confirmed",2020-02-11,"Japan",1
"426","confirmed",2020-02-11,"Spain",0
"427","confirmed",2020-02-11,"US",1
"428","death",2020-02-11,"Australia",0
"429","death",2020-02-11,"Belgium",0
"430","death",2020-02-11,"China",100
"431","death",2020-02-11,"Italy",0
"432","death",2020-02-11,"Japan",0
"433","death",2020-02-11,"Spain",0
"434","death",2020-02-11,"US",0
"435","recovered",2020-02-11,"Australia",0
"436","recovered",2020-02-11,"Belgium",0
"437","recovered",2020-02-11,"China",718
"438","recovered",2020-02-11,"Italy",0
"439","recovered",2020-02-11,"Japan",5
"440","recovered",2020-02-11,"Spain",0
"441","recovered",2020-02-11,"US",0
"442","confirmed",2020-02-12,"Australia",0
"443","confirmed",2020-02-12,"Belgium",0
"444","confirmed",2020-02-12,"China",373
"445","confirmed",2020-02-12,"Italy",0
"446","confirmed",2020-02-12,"Japan",1
"447","confirmed",2020-02-12,"Spain",0
"448","confirmed",2020-02-12,"US",0
"449","death",2020-02-12,"Australia",0
"450","death",2020-02-12,"Belgium",0
"451","death",2020-02-12,"China",5
"452","death",2020-02-12,"Italy",0
"453","death",2020-02-12,"Japan",0
"454","death",2020-02-12,"Spain",0
"455","death",2020-02-12,"US",0
"456","recovered",2020-02-12,"Australia",0
"457","recovered",2020-02-12,"Belgium",0
"458","recovered",2020-02-12,"China",446
"459","recovered",2020-02-12,"Italy",0
"460","recovered",2020-02-12,"Japan",0
"461","recovered",2020-02-12,"Spain",0
"462","recovered",2020-02-12,"US",0
"463","confirmed",2020-02-13,"Australia",0
"464","confirmed",2020-02-13,"Belgium",0
"465","confirmed",2020-02-13,"China",15136
"466","confirmed",2020-02-13,"Italy",0
"467","confirmed",2020-02-13,"Japan",5
"468","confirmed",2020-02-13,"Spain",0
"469","confirmed",2020-02-13,"US",1
"470","death",2020-02-13,"Australia",0
"471","death",2020-02-13,"Belgium",0
"472","death",2020-02-13,"China",252
"473","death",2020-02-13,"Italy",0
"474","death",2020-02-13,"Japan",1
"475","death",2020-02-13,"Spain",0
"476","death",2020-02-13,"US",0
"477","recovered",2020-02-13,"Australia",6
"478","recovered",2020-02-13,"Belgium",0
"479","recovered",2020-02-13,"China",1135
"480","recovered",2020-02-13,"Italy",0
"481","recovered",2020-02-13,"Japan",0
"482","recovered",2020-02-13,"Spain",0
"483","recovered",2020-02-13,"US",0
"484","confirmed",2020-02-14,"Australia",0
"485","confirmed",2020-02-14,"Belgium",0
"486","confirmed",2020-02-14,"China",6463
"487","confirmed",2020-02-14,"Italy",0
"488","confirmed",2020-02-14,"Japan",10
"489","confirmed",2020-02-14,"Spain",0
"490","confirmed",2020-02-14,"US",0
"491","death",2020-02-14,"Australia",0
"492","death",2020-02-14,"Belgium",0
"493","death",2020-02-14,"China",152
"494","death",2020-02-14,"Italy",0
"495","death",2020-02-14,"Japan",0
"496","death",2020-02-14,"Spain",0
"497","death",2020-02-14,"US",0
"498","recovered",2020-02-14,"Australia",0
"499","recovered",2020-02-14,"Belgium",0
"500","recovered",2020-02-14,"China",1760
"501","recovered",2020-02-14,"Italy",0
"502","recovered",2020-02-14,"Japan",0
"503","recovered",2020-02-14,"Spain",0
"504","recovered",2020-02-14,"US",0
"505","confirmed",2020-02-15,"Australia",0
"506","confirmed",2020-02-15,"Belgium",0
"507","confirmed",2020-02-15,"China",2055
"508","confirmed",2020-02-15,"Italy",0
"509","confirmed",2020-02-15,"Japan",11
"510","confirmed",2020-02-15,"Spain",0
"511","confirmed",2020-02-15,"US",0
"512","death",2020-02-15,"Australia",0
"513","death",2020-02-15,"Belgium",0
"514","death",2020-02-15,"China",142
"515","death",2020-02-15,"Italy",0
"516","death",2020-02-15,"Japan",0
"517","death",2020-02-15,"Spain",0
"518","death",2020-02-15,"US",0
"519","recovered",2020-02-15,"Australia",0
"520","recovered",2020-02-15,"Belgium",0
"521","recovered",2020-02-15,"China",1321
"522","recovered",2020-02-15,"Italy",0
"523","recovered",2020-02-15,"Japan",3
"524","recovered",2020-02-15,"Spain",2
"525","recovered",2020-02-15,"US",0
"526","confirmed",2020-02-16,"Australia",0
"527","confirmed",2020-02-16,"Belgium",0
"528","confirmed",2020-02-16,"China",2100
"529","confirmed",2020-02-16,"Italy",0
"530","confirmed",2020-02-16,"Japan",6
"531","confirmed",2020-02-16,"Spain",0
"532","confirmed",2020-02-16,"US",0
"533","death",2020-02-16,"Australia",0
"534","death",2020-02-16,"Belgium",0
"535","death",2020-02-16,"China",103
"536","death",2020-02-16,"Italy",0
"537","death",2020-02-16,"Japan",0
"538","death",2020-02-16,"Spain",0
"539","death",2020-02-16,"US",0
"540","recovered",2020-02-16,"Australia",0
"541","recovered",2020-02-16,"Belgium",0
"542","recovered",2020-02-16,"China",1457
"543","recovered",2020-02-16,"Italy",0
"544","recovered",2020-02-16,"Japan",0
"545","recovered",2020-02-16,"Spain",0
"546","recovered",2020-02-16,"US",0
"547","confirmed",2020-02-17,"Australia",0
"548","confirmed",2020-02-17,"Belgium",0
"549","confirmed",2020-02-17,"China",1921
"550","confirmed",2020-02-17,"Italy",0
"551","confirmed",2020-02-17,"Japan",7
"552","confirmed",2020-02-17,"Spain",0
"553","confirmed",2020-02-17,"US",0
"554","death",2020-02-17,"Australia",0
"555","death",2020-02-17,"Belgium",0
"556","death",2020-02-17,"China",98
"557","death",2020-02-17,"Italy",0
"558","death",2020-02-17,"Japan",0
"559","death",2020-02-17,"Spain",0
"560","death",2020-02-17,"US",0
"561","recovered",2020-02-17,"Australia",2
"562","recovered",2020-02-17,"Belgium",1
"563","recovered",2020-02-17,"China",1707
"564","recovered",2020-02-17,"Italy",0
"565","recovered",2020-02-17,"Japan",0
"566","recovered",2020-02-17,"Spain",0
"567","recovered",2020-02-17,"US",0
"568","confirmed",2020-02-18,"Australia",0
"569","confirmed",2020-02-18,"Belgium",0
"570","confirmed",2020-02-18,"China",1777
"571","confirmed",2020-02-18,"Italy",0
"572","confirmed",2020-02-18,"Japan",12
"573","confirmed",2020-02-18,"Spain",0
"574","confirmed",2020-02-18,"US",0
"575","death",2020-02-18,"Australia",0
"576","death",2020-02-18,"Belgium",0
"577","death",2020-02-18,"China",139
"578","death",2020-02-18,"Italy",0
"579","death",2020-02-18,"Japan",1
"580","death",2020-02-18,"Spain",0
"581","death",2020-02-18,"US",0
"582","recovered",2020-02-18,"Australia",0
"583","recovered",2020-02-18,"Belgium",0
"584","recovered",2020-02-18,"China",1744
"585","recovered",2020-02-18,"Italy",0
"586","recovered",2020-02-18,"Japan",1
"587","recovered",2020-02-18,"Spain",0
"588","recovered",2020-02-18,"US",0
"589","confirmed",2020-02-19,"Australia",0
"590","confirmed",2020-02-19,"Belgium",0
"591","confirmed",2020-02-19,"China",408
"592","confirmed",2020-02-19,"Italy",0
"593","confirmed",2020-02-19,"Japan",6
"594","confirmed",2020-02-19,"Spain",0
"595","confirmed",2020-02-19,"US",0
"596","death",2020-02-19,"Australia",0
"597","death",2020-02-19,"Belgium",0
"598","death",2020-02-19,"China",113
"599","death",2020-02-19,"Italy",0
"600","death",2020-02-19,"Japan",0
"601","death",2020-02-19,"Spain",0
"602","death",2020-02-19,"US",0
"603","recovered",2020-02-19,"Australia",0
"604","recovered",2020-02-19,"Belgium",0
"605","recovered",2020-02-19,"China",1756
"606","recovered",2020-02-19,"Italy",0
"607","recovered",2020-02-19,"Japan",5
"608","recovered",2020-02-19,"Spain",0
"609","recovered",2020-02-19,"US",0
"610","confirmed",2020-02-20,"Australia",0
"611","confirmed",2020-02-20,"Belgium",0
"612","confirmed",2020-02-20,"China",458
"613","confirmed",2020-02-20,"Italy",0
"614","confirmed",2020-02-20,"Japan",10
"615","confirmed",2020-02-20,"Spain",0
"616","confirmed",2020-02-20,"US",0
"617","death",2020-02-20,"Australia",0
"618","death",2020-02-20,"Belgium",0
"619","death",2020-02-20,"China",122
"620","death",2020-02-20,"Italy",0
"621","death",2020-02-20,"Japan",0
"622","death",2020-02-20,"Spain",0
"623","death",2020-02-20,"US",0
"624","recovered",2020-02-20,"Australia",0
"625","recovered",2020-02-20,"Belgium",0
"626","recovered",2020-02-20,"China",2052
"627","recovered",2020-02-20,"Italy",0
"628","recovered",2020-02-20,"Japan",0
"629","recovered",2020-02-20,"Spain",0
"630","recovered",2020-02-20,"US",0
"631","confirmed",2020-02-21,"Australia",0
"632","confirmed",2020-02-21,"Belgium",0
"633","confirmed",2020-02-21,"China",473
"634","confirmed",2020-02-21,"Italy",17
"635","confirmed",2020-02-21,"Japan",17
"636","confirmed",2020-02-21,"Spain",0
"637","confirmed",2020-02-21,"US",2
"638","death",2020-02-21,"Australia",0
"639","death",2020-02-21,"Belgium",0
"640","death",2020-02-21,"China",0
"641","death",2020-02-21,"Italy",1
"642","death",2020-02-21,"Japan",0
"643","death",2020-02-21,"Spain",0
"644","death",2020-02-21,"US",0
"645","recovered",2020-02-21,"Australia",1
"646","recovered",2020-02-21,"Belgium",0
"647","recovered",2020-02-21,"China",690
"648","recovered",2020-02-21,"Italy",0
"649","recovered",2020-02-21,"Japan",4
"650","recovered",2020-02-21,"Spain",0
"651","recovered",2020-02-21,"US",2
"652","confirmed",2020-02-22,"Australia",0
"653","confirmed",2020-02-22,"Belgium",0
"654","confirmed",2020-02-22,"China",1451
"655","confirmed",2020-02-22,"Italy",42
"656","confirmed",2020-02-22,"Japan",25
"657","confirmed",2020-02-22,"Spain",0
"658","confirmed",2020-02-22,"US",0
