"","type","date","country","cases","province","long","lat"
"278","confirmed",2020-01-27,"Germany",1,"",10.451526,51.165691
"279","confirmed",2020-01-27,"Italy",0,"",12.56738,41.87194
"280","confirmed",2020-01-27,"Japan",0,"",138.252924,36.204824
"281","confirmed",2020-01-27,"Spain",0,"",-3.74922,40.463667
"282","confirmed",2020-01-27,"US",0,"",-100,40
"283","confirmed",2020-01-28,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"284","confirmed",2020-01-28,"Australia",0,"New South Wales",151.2093,-33.8688
"285","confirmed",2020-01-28,"Australia",0,"Northern Territory",130.8456,-12.4634
"286","confirmed",2020-01-28,"Australia",0,"Queensland",153.0251,-27.4698
"287","confirmed",2020-01-28,"Australia",0,"South Australia",138.6007,-34.9285
"288","confirmed",2020-01-28,"Australia",0,"Tasmania",147.3272,-42.8821
"289","confirmed",2020-01-28,"Australia",0,"Victoria",144.9631,-37.8136
"290","confirmed",2020-01-28,"Australia",0,"Western Australia",115.8605,-31.9505
"291","confirmed",2020-01-28,"Belgium",0,"",4.469936,50.8333
"292","confirmed",2020-01-28,"China",0,"Hong Kong",114.2,22.3
"293","confirmed",2020-01-28,"China",0,"Qinghai",95.9956,35.7452
"294","confirmed",2020-01-28,"China",0,"Tibet",88.0924,31.6927
"295","confirmed",2020-01-28,"China",1,"Macau",113.55,22.1667
"296","confirmed",2020-01-28,"China",1,"Tianjin",117.323,39.3054
"297","confirmed",2020-01-28,"China",2,"Guizhou",106.8748,26.8154
"298","confirmed",2020-01-28,"China",2,"Jilin",126.1923,43.6661
"299","confirmed",2020-01-28,"China",4,"Inner Mongolia",113.9448,44.0935
"300","confirmed",2020-01-28,"China",4,"Ningxia",106.1655,37.2692
"301","confirmed",2020-01-28,"China",5,"Gansu",104.2861,35.7518
"302","confirmed",2020-01-28,"China",5,"Guangxi",108.7881,23.8298
"303","confirmed",2020-01-28,"China",5,"Xinjiang",85.2401,41.1129
"304","confirmed",2020-01-28,"China",7,"Hainan",109.7453,19.1959
"305","confirmed",2020-01-28,"China",7,"Liaoning",122.6085,41.2956
"306","confirmed",2020-01-28,"China",11,"Beijing",116.4142,40.1824
"307","confirmed",2020-01-28,"China",11,"Shaanxi",108.8701,35.1917
"308","confirmed",2020-01-28,"China",12,"Heilongjiang",127.7615,47.862
"309","confirmed",2020-01-28,"China",13,"Shanghai",121.4491,31.202
"310","confirmed",2020-01-28,"China",14,"Shanxi",112.2922,37.5777
"311","confirmed",2020-01-28,"China",15,"Hebei",116.1306,39.549
"312","confirmed",2020-01-28,"China",18,"Yunnan",101.487,24.974
"313","confirmed",2020-01-28,"China",20,"Shandong",118.1498,36.3427
"314","confirmed",2020-01-28,"China",21,"Fujian",117.9874,26.0789
"315","confirmed",2020-01-28,"China",21,"Sichuan",102.7103,30.6171
"316","confirmed",2020-01-28,"China",22,"Chongqing",107.874,30.0572
"317","confirmed",2020-01-28,"China",23,"Jiangsu",119.455,32.9711
"318","confirmed",2020-01-28,"China",36,"Anhui",117.2264,31.8257
"319","confirmed",2020-01-28,"China",37,"Jiangxi",115.7221,27.614
"320","confirmed",2020-01-28,"China",40,"Henan",114.9042,37.8957
"321","confirmed",2020-01-28,"China",43,"Hunan",111.7088,27.6104
"322","confirmed",2020-01-28,"China",45,"Zhejiang",120.0934,29.1832
"323","confirmed",2020-01-28,"China",56,"Guangdong",113.4244,23.3417
"324","confirmed",2020-01-28,"China",2131,"Hubei",112.2707,30.9756
"325","confirmed",2020-01-28,"Germany",3,"",10.451526,51.165691
"326","confirmed",2020-01-28,"Italy",0,"",12.56738,41.87194
"327","confirmed",2020-01-28,"Japan",3,"",138.252924,36.204824
"328","confirmed",2020-01-28,"Spain",0,"",-3.74922,40.463667
"329","confirmed",2020-01-28,"US",0,"",-100,40
"330","confirmed",2020-01-29,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"331","confirmed",2020-01-29,"Australia",0,"New South Wales",151.2093,-33.8688
"332","confirmed",2020-01-29,"Australia",0,"Northern Territory",130.8456,-12.4634
"333","confirmed",2020-01-29,"Australia",0,"South Australia",138.6007,-34.9285
"334","confirmed",2020-01-29,"Australia",0,"Tasmania",147.3272,-42.8821
"335","confirmed",2020-01-29,"Australia",0,"Victoria",144.9631,-37.8136
"336","confirmed",2020-01-29,"Australia",0,"Western Australia",115.8605,-31.9505
"337","confirmed",2020-01-29,"Australia",1,"Queensland",153.0251,-27.4698
"338","confirmed",2020-01-29,"Belgium",0,"",4.469936,50.8333
"339","confirmed",2020-01-29,"China",0,"Guizhou",106.8748,26.8154
"340","confirmed",2020-01-29,"China",0,"Hubei",112.2707,30.9756
"341","confirmed",2020-01-29,"China",0,"Jiangxi",115.7221,27.614
"342","confirmed",2020-01-29,"China",0,"Macau",113.55,22.1667
"343","confirmed",2020-01-29,"China",0,"Qinghai",95.9956,35.7452
"344","confirmed",2020-01-29,"China",0,"Shanxi",112.2922,37.5777
"345","confirmed",2020-01-29,"China",0,"Tibet",88.0924,31.6927
"346","confirmed",2020-01-29,"China",1,"Inner Mongolia",113.9448,44.0935
"347","confirmed",2020-01-29,"China",1,"Jilin",126.1923,43.6661
"348","confirmed",2020-01-29,"China",1,"Ningxia",106.1655,37.2692
"349","confirmed",2020-01-29,"China",2,"Hong Kong",114.2,22.3
"350","confirmed",2020-01-29,"China",3,"Hainan",109.7453,19.1959
"351","confirmed",2020-01-29,"China",3,"Tianjin",117.323,39.3054
"352","confirmed",2020-01-29,"China",3,"Xinjiang",85.2401,41.1129
"353","confirmed",2020-01-29,"China",4,"Fujian",117.9874,26.0789
"354","confirmed",2020-01-29,"China",5,"Gansu",104.2861,35.7518
"355","confirmed",2020-01-29,"China",5,"Heilongjiang",127.7615,47.862
"356","confirmed",2020-01-29,"China",5,"Liaoning",122.6085,41.2956
"357","confirmed",2020-01-29,"China",7,"Guangxi",108.7881,23.8298
"358","confirmed",2020-01-29,"China",10,"Shaanxi",108.8701,35.1917
"359","confirmed",2020-01-29,"China",11,"Yunnan",101.487,24.974
"360","confirmed",2020-01-29,"China",15,"Chongqing",107.874,30.0572
"361","confirmed",2020-01-29,"China",15,"Hebei",116.1306,39.549
"362","confirmed",2020-01-29,"China",18,"Sichuan",102.7103,30.6171
"363","confirmed",2020-01-29,"China",20,"Beijing",116.4142,40.1824
"364","confirmed",2020-01-29,"China",29,"Jiangsu",119.455,32.9711
"365","confirmed",2020-01-29,"China",30,"Shanghai",121.4491,31.202
"366","confirmed",2020-01-29,"China",35,"Shandong",118.1498,36.3427
"367","confirmed",2020-01-29,"China",38,"Henan",114.9042,37.8957
"368","confirmed",2020-01-29,"China",46,"Anhui",117.2264,31.8257
"369","confirmed",2020-01-29,"China",70,"Guangdong",113.4244,23.3417
"370","confirmed",2020-01-29,"China",78,"Hunan",111.7088,27.6104
"371","confirmed",2020-01-29,"China",123,"Zhejiang",120.0934,29.1832
"372","confirmed",2020-01-29,"Germany",0,"",10.451526,51.165691
"373","confirmed",2020-01-29,"Italy",0,"",12.56738,41.87194
"374","confirmed",2020-01-29,"Japan",0,"",138.252924,36.204824
"375","confirmed",2020-01-29,"Spain",0,"",-3.74922,40.463667
"376","confirmed",2020-01-29,"US",0,"",-100,40
"377","confirmed",2020-01-30,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"378","confirmed",2020-01-30,"Australia",0,"New South Wales",151.2093,-33.8688
