"","date","country","confirmed","death","recovered"
"443",2020-03-25,"Belgium",668,56,86
"444",2020-03-25,"China",70,4,493
"445",2020-03-25,"Italy",5210,683,1036
"446",2020-03-25,"Japan",97,3,25
"447",2020-03-25,"Spain",9630,839,1573
"448",2020-03-25,"US",11943,312,13
"449",2020-03-26,"Australia",446,5,53
"450",2020-03-26,"Belgium",1298,42,128
"451",2020-03-26,"China",121,6,408
"452",2020-03-26,"Italy",6203,712,999
"453",2020-03-26,"Japan",102,2,49
"454",2020-03-26,"Spain",8271,718,1648
"455",2020-03-26,"US",18036,413,320
"456",2020-03-27,"Australia",333,0,22
"457",2020-03-27,"Belgium",1049,69,183
"458",2020-03-27,"China",115,5,539
"459",2020-03-27,"Italy",5909,919,589
"460",2020-03-27,"Japan",114,6,13
"461",2020-03-27,"Spain",7933,773,2342
"462",2020-03-27,"US",18185,554,188
"463",2020-03-28,"Australia",497,1,50
"464",2020-03-28,"Belgium",1850,64,205
"465",2020-03-28,"China",102,3,380
"466",2020-03-28,"Italy",5974,889,1434
"467",2020-03-28,"Japan",198,3,32
"468",2020-03-28,"Spain",7516,844,2928
"469",2020-03-28,"US",19793,634,203
"470",2020-03-29,"Australia",344,2,0
"471",2020-03-29,"Belgium",1702,78,296
"472",2020-03-29,"China",123,5,482
"473",2020-03-29,"Italy",5217,756,646
"474",2020-03-29,"Japan",179,7,20
"475",2020-03-29,"Spain",6875,821,2424
"476",2020-03-29,"US",19136,627,1593
"477",2020-03-30,"Australia",377,1,13
"478",2020-03-30,"Belgium",1063,82,168
"479",2020-03-30,"China",76,4,341
"480",2020-03-30,"Italy",4050,812,1590
"481",2020-03-30,"Japan",94,2,0
"482",2020-03-30,"Spain",7846,913,2071
"483",2020-03-30,"US",21502,820,2979
"484",2020-03-31,"Australia",198,1,101
"485",2020-03-31,"Belgium",876,192,169
"486",2020-03-31,"China",81,1,283
"487",2020-03-31,"Italy",4053,837,1109
"488",2020-03-31,"Japan",254,2,0
"489",2020-03-31,"Spain",7967,748,2479
"490",2020-03-31,"US",26017,1224,1380
"491",2020-04-01,"Australia",303,2,64
"492",2020-04-01,"Belgium",1189,123,436
"493",2020-04-01,"China",82,7,199
"494",2020-04-01,"Italy",4782,727,1118
"495",2020-04-01,"Japan",280,5,48
"496",2020-04-01,"Spain",8195,923,3388
"497",2020-04-01,"US",25481,1241,1450
"498",2020-04-02,"Australia",254,4,98
"499",2020-04-02,"Belgium",1384,183,363
"500",2020-04-02,"China",71,6,160
"501",2020-04-02,"Italy",4668,760,1431
"502",2020-04-02,"Japan",283,3,0
"503",2020-04-02,"Spain",7947,961,4096
"504",2020-04-02,"US",30405,1586,527
"505",2020-04-03,"Australia",214,4,129
"506",2020-04-03,"Belgium",1422,132,377
"507",2020-04-03,"China",79,4,195
"508",2020-04-03,"Italy",4585,766,1480
"509",2020-04-03,"Japan",336,6,42
